*key;ru;en;fr
*loading;
	Загрузка...;
	Loading...;
	Chargement...;
*new_game;
	Новая игра;
	New Game;
	Nouvelle partie;
*load_game;
	Загрузить;
	Load Game;
	Charger la partie;
# SAVE_LOAD_PERFAB;
*save_load_title_load;
	Загрузка сохранения;
	Load Save;
	Load Save;
*save_load_title_save;
	Сохранение игры;
	Save Game;
	Save Game;
*save_load_slot_0;
	Автосохранение;
	Autosave;
	Autosave;
*save_load_slot_1;
	Слот 1;
	Slot 1;
	Slot 1;
*save_load_slot_2;
	Слот 2;
	Slot 2;
	Slot 2;
*save_load_slot_3;
	Слот 3;
	Slot 3;
	Slot 3;
*save_load_slot_4;
	Слот 4;
	Slot 4;
	Slot 4;
*save_load_slot_5;
	Слот 5;
	Slot 5;
	Slot 5;
*save_load_slot_6;
	Слот 6;
	Slot 6;
	Slot 6;
*save_load_slot_7;
	Слот 7;
	Slot 7;
	Slot 7;
*save_load_slot_8;
	Слот 8;
	Slot 8;
	Slot 8;
*save_load_slot_9;
	Слот 9;
	Slot 9;
	Slot 9;
*save_load_slot_10;
	Слот 10;
	Slot 10;
	Slot 10;
*save_load_empty;
	Пустой слот;
	Empty slot;
	Empty slot;
*exit;
		Выход;
		Exit;
		Quitter;
*version;
	Версия 0.0.065;
	Version 0.0.065;
	Version 0.0.065;
*settings;
	Настройки;
	Settings;
	Paramètres;
*apply;
	Применить;
	Apply;
	Appliquer;
*reset;
	Сброс;
	Reset;
	Réinitialiser;
*back;
	Назад;
	Back;
	Retour;
*skip;
	Пропустить;
	Skip;
	Passer;
*language;
	Язык;
	Language;
	Langue;
*vibration;
	Вибрация;
	Vibration;
	Vibration;
*music;
	Музыка;
	Music;
	Musique;
*sfx;
	Звуки;
	SFX;
	Effets;
*ui;
	Интерфейс;
	UI;
	UI;
*yes;
	Да;
	Yes;
	Yes;
*no;
	Нет;
	No;
	No;
# INTRO_SCENE_TRANSLATIONS;
*INTRO_LORE_01;
	С древних времён на этом континенте не утихает война.\nЛюди и демоны сражаются снова и снова.\nИ никто уже не помнит, с чего всё началось.\nИ никто не верит, что это закончится.;
	Since ancient times, war has never ceased on this continent.\nHumans and demons fight again and again.\nNo one remembers how it all began.\nNo one believes it will ever end.;
	Depuis des temps immémoriaux, la guerre ne cesse de ravager ce continent.\nLes humains et les démons se battent encore et encore.\nPersonne ne se souvient comment tout a commencé.\nPersonne ne croit que cela prendra fin.;
*INTRO_LORE_02;
	В этой войне страдают все.\nДаже те, кто никогда не держал оружие.\nДаже те, кому не дали выбора.;
	In this war, everyone suffers.\nEven those who never held a weapon.\nEven those who were given no choice.;
	Dans cette guerre, tout le monde souffre.\nMême ceux qui n'ont jamais tenu d'arme.\nMême ceux à qui on n'a pas laissé le choix.;
*INTRO_LORE_03;
    Мир огромен.\nА проблемы маленьких и беспомощных\nникого не волнуют.;
    The world is huge.\nAnd the problems of the small and helpless\nare ignored by everyone.;
    Le monde est immense.\nEt les problèmes des petits et des impuissants\nn'intéressent personne.;
*INTRO_LORE_04;
	Чтобы выжить, нужно перестать бояться.\nСила не приходит сама. Её ищут.\nТеряют. И находят снова.;
	To survive, you must stop being afraid.\nStrength does not come by itself. You seek it.\nLose it. And find it again.;
	Pour survivre, il faut cesser d'avoir peur.\nLa force ne vient pas d'elle-même. On la cherche.\nOn la perd. Et on la retrouve encore.;
*INTRO_LORE_05A;
	Я пыталась стать сильнее.\nДелала всё, что могла.;
	I tried to become stronger.\nI did everything I could.;
	J'ai essayé de devenir plus forte.\nJ'ai fait tout ce que je pouvais.;
*INTRO_LORE_05B;
	Но иногда кажется, что сколько бы я ни старалась — цель всё равно казалась недосягаемой.;
	But sometimes it feels like, no matter how hard I try — the goal still seems unreachable.;
	Mais parfois, j'ai l'impression que, quoi que je fasse, l'objectif reste hors de portée./;
*INTRO_LORE_06;
	...;
	...;
	...;
*INTRO_LORE_07;
	Что здесь происходит?..;
	What's going on here?..;
	Que se passe-t-il ici ?..;
*INTRO_LORE_08;
	Работорговец: Эй! Быстрее!;
	Slaver: Hey! Move it!;
	Esclavagiste : Hé ! Plus vite !;
*INTRO_LORE_09;
	Работорговец: Не тормози.;
	Slaver: Don’t slow down.;
	Esclavagiste : Ne traîne pas.;
*INTRO_LORE_10;
	...;
	...;
	...;
*INTRO_LORE_11;
	Вмешаться…\nили отвернуться?;
	Intervene...\nor turn away?;
	Intervenir...\nou détourner le regard ?;
*INTRO_LORE_12A;
	Иногда я просто не могу смотреть.;
	Sometimes I just can't watch.;
	Parfois, je ne peux tout simplement pas regarder.;
*INTRO_LORE_13A;
	(крик);
	(scream);
	(cri);
*INTRO_LORE_14A;
	Кажется все уже закончилось.;
	It seems it's all over now.;
	On dirait que tout est fini.;
*INTRO_LORE_12B;
	Хватит.;
	Enough.;
	Ça suffit.;
*INTRO_LORE_13B;
	Бегите! Я его отвлеку.;
	Run! I'll distract him.;
	Courez ! Je vais le distraire.;
*INTRO_DIALOG_QUESTION;
	Вы хотите вмешатся?;
	Вы хотите вмешатся?;
	Вы хотите вмешатся?;
