*key;ru;en;fr
*yes;
	Да;
	Yes;
	Yes;
*no;
	Нет;
	No;
	No;
*apply;
	Применить;
	Apply;
	Appliquer;
*cancel;
	Отмена;
	Cancel;
	Annuler;
*reset;
	Сброс;
	Reset;
	Réinitialiser;
*back;
	Назад;
	Back;
	Retour;
*skip;
	Пропустить;
	Skip;
	Passer;
*loading;
	Загрузка...;
	Loading...;
	Chargement...;
*confirm_overwrite_save;
	Вы уверены, что хотите перезаписать это сохранение?;
	Are you sure you want to overwrite this save?;
	Are you sure you want to overwrite this save?;
*confirm_delete_save;
	Вы уверены, что хотите удалить это сохранение?;
	Are you sure you want to delete this save?
	Are you sure you want to delete this save?
*day;
	День;
	Day;
	Jour;
*time;
	Время;
	Time;
	Temps;
*confirm;
	Подтвердить;
	Confirm;
	Confirm;
*used;
	Уже использовано сегодня -50%;
	Already used today -50%;
	Déjà utilisé aujourd'hui -50%;
*currentStructureLevelKey;
	Уровень: {0};
	Level: {0};
	Niveau: {0};
